X126 G2 ('M3',) dur=3 cost=1535
X127 G2 ('M4', 'M1') dur=4 cost=2337
X128 G2 ('M4', 'M3') dur=4 cost=2395
X129 G2 ('M4',) dur=2 cost=1490
X130 G2 ('M5', 'M1') dur=4 cost=2337
X131 G2 ('M5', 'M3') dur=4 cost=2395
X132 G2 ('M5', 'M7') dur=4 cost=2362
X133 G2 ('M5',) dur=3 cost=1992
X134 G2 ('M5',) dur=2 cost=1490
X135 G2 ('M6', 'M9') dur=7 cost=4177
X136 G2 ('M6', 'M9') dur=5 cost=3729
X137 G2 ('M6', 'M10') dur=8 cost=4377
X138 G2 ('M6', 'M10') dur=6 cost=3929
X139 G2 ('M6',) dur=6 cost=3738
X140 G2 ('M6',) dur=4 cost=3290
X141 G2 ('M3',) dur=4 cost=2460
X142 G2 ('M7', 'M1') dur=5 cost=2254
X143 G2 ('M7', 'M1') dur=4 cost=1843
X144 G2 ('M7', 'M3') dur=5 cost=2232
X145 G2 ('M7', 'M5') dur=5 cost=2362
X146 G2 ('M7', 'M5') dur=4 cost=1860
X147 G2 ('M7',) dur=3 cost=1810
X148 G2 ('M7',) dur=2 cost=1535
X149 G2 ('M8', 'M2') dur=6 cost=3124
X150 G2 ('M8', 'M2') dur=7 cost=3624
X151 G2 ('M8',) dur=5 cost=2520
X152 G2 ('M8',) dur=6 cost=3020
X153 G2 ('M9', 'M6') dur=7 cost=4177
X154 G2 ('M9', 'M6') dur=5 cost=3729
X155 G2 ('M9',) dur=5 cost=3359
X156 G2 ('M9',) dur=4 cost=2911
X157 G2 ('M10', 'M6') dur=7 cost=4377
X158 G2 ('M10', 'M6') dur=5 cost=3929
X159 G2 ('M10',) dur=5 cost=3559
X160 G2 ('M10',) dur=4 cost=3111
X161 G2 ('M1', 'M4') dur=4 cost=1445
X162 G2 ('M1', 'M5') dur=4 cost=1445
X163 G2 ('M1', 'M7') dur=5 cost=1864
X164 G2 ('M1', 'M7') dur=4 cost=1589
X165 G2 ('M1',) dur=3 cost=1498
X166 G2 ('M1',) dur=2 cost=1086
X167 G2 ('M2', 'M8') dur=6 cost=3645
X168 G2 ('M2', 'M8') dur=8 cost=4145
X169 G2 ('M2',) dur=4 cost=2698
X170 G2 ('M2',) dur=5 cost=3198
X171 G2 ('M3', 'M4') dur=4 cost=1805
X172 G2 ('M3', 'M5') dur=4 cost=1805
X173 G2 ('M3',) dur=4 cost=1900
X174 G2 ('M3', 'M7') dur=4 cost=1869
X175 G2 ('M3',) dur=3 cost=1556
X176 G2 ('M3',) dur=3 cost=1446
X177 G2 ('M4', 'M1') dur=5 cost=1857
X178 G2 ('M4', 'M1') dur=4 cost=1445
X179 G2 ('M4', 'M3') dur=5 cost=1915
X180 G2 ('M4', 'M3') dur=5 cost=1805
X181 G2 ('M4',) dur=2 cost=1010
X182 G2 ('M5', 'M1') dur=5 cost=1857
X183 G2 ('M5', 'M1') dur=4 cost=1445
X184 G2 ('M5', 'M3') dur=5 cost=1915
X185 G2 ('M5', 'M3') dur=5 cost=1805
X186 G2 ('M5', 'M7') dur=5 cost=1882
X187 G2 ('M5', 'M7') dur=4 cost=1607
X188 G2 ('M5',) dur=4 cost=1512
X189 G2 ('M5',) dur=2 cost=1010
X190 G2 ('M6', 'M9') dur=6 cost=3750
X191 G2 ('M6', 'M9') dur=5 cost=3303
X192 G2 ('M6', 'M10') dur=7 cost=3950
X193 G2 ('M6', 'M10') dur=6 cost=3503
X194 G2 ('M6',) dur=5 cost=3311
X195 G2 ('M6',) dur=4 cost=2864
X196 G2 ('M3',) dur=4 cost=2460
X197 G2 ('M7', 'M1') dur=4 cost=2001
X198 G2 ('M7', 'M1') dur=3 cost=1589
X199 G2 ('M7', 'M3') dur=4 cost=1979
X200 G2 ('M7', 'M3') dur=4 cost=1869
X201 G2 ('M7', 'M5') dur=3 cost=1607
X202 G2 ('M7',) dur=3 cost=1556
X203 G2 ('M7',) dur=2 cost=1281
X204 G2 ('M8', 'M2') dur=5 cost=3645
X205 G2 ('M8', 'M2') dur=7 cost=4145
X206 G2 ('M8',) dur=4 cost=3042
X207 G2 ('M8',) dur=5 cost=3542
X208 G2 ('M9', 'M6') dur=7 cost=3750
X209 G2 ('M9', 'M6') dur=6 cost=3303
X210 G2 ('M9',) dur=6 cost=2933
X211 G2 ('M9',) dur=5 cost=2485
X212 G2 ('M10', 'M6') dur=7 cost=3950
X213 G2 ('M10', 'M6') dur=6 cost=3503
X214 G2 ('M10',) dur=6 cost=3133
X215 G2 ('M10',) dur=5 cost=2685
X216 G3 ('M1', 'M4') dur=3 cost=2890
X217 G3 ('M1', 'M5') dur=5 cost=3738
X218 G3 ('M1', 'M5') dur=3 cost=2890
X219 G3 ('M1', 'M7') dur=5 cost=3593
X220 G3 ('M1', 'M7') dur=4 cost=3019
X221 G3 ('M1',) dur=4 cost=3090
X222 G3 ('M1',) dur=2 cost=2351
X223 G3 ('M2', 'M8') dur=5 cost=4089
X224 G3 ('M2', 'M8') dur=7 cost=4935
X225 G3 ('M2',) dur=3 cost=2893
X226 G3 ('M2',) dur=5 cost=3739
X227 G3 ('M3', 'M4') dur=3 cost=2919
X228 G3 ('M3', 'M5') dur=5 cost=3767
X229 G3 ('M3', 'M5') dur=3 cost=2919
X230 G3 ('M3',) dur=3 cost=2949
X231 G3 ('M3', 'M7') dur=5 cost=3525
X232 G3 ('M3', 'M7') dur=3 cost=2952
X233 G3 ('M3',) dur=3 cost=2753
X234 G3 ('M3',) dur=2 cost=2380
X235 G3 ('M4', 'M1') dur=5 cost=3738
X236 G3 ('M4', 'M3') dur=5 cost=3767
X237 G3 ('M4',) dur=2 cost=2360
X238 G3 ('M5', 'M1') dur=5 cost=3738
X239 G3 ('M5', 'M3') dur=5 cost=3767
X240 G3 ('M5', 'M7') dur=5 cost=3716
X241 G3 ('M5',) dur=4 cost=3207
X242 G3 ('M5',) dur=2 cost=2360
X243 G3 ('M6', 'M9') dur=7 cost=6481
X244 G3 ('M6', 'M9') dur=6 cost=5698
X245 G3 ('M6', 'M10') dur=8 cost=6681
X246 G3 ('M6', 'M10') dur=7 cost=5898
X247 G3 ('M6',) dur=6 cost=5870
X248 G3 ('M6',) dur=5 cost=5087
X249 G3 ('M3',) dur=5 cost=3868
